arquivo,produto,categoria,pagina,largura,altura
buriti_ambiente_contemporaneo.jpg,,Contemporaneo,7,4075,3544
buriti_empireo_01.jpg,Empíreo,Contemporaneo,8,3800,880
buriti_empireo_02.jpg,Empíreo,Contemporaneo,9,2928,1582
buriti_empireo_03.jpg,Empíreo,Contemporaneo,9,2684,1160
buriti_portinari_01.jpg,Portinari,Contemporaneo,10,3754,912
buriti_portinari_02.jpg,Portinari,Contemporaneo,11,2108,1394
buriti_portinari_03.jpg,Portinari,Contemporaneo,11,2780,1054
buriti_portinari_04.jpg,Portinari,Contemporaneo,11,1754,1328
buriti_torino_01.jpg,Torino,Contemporaneo,12,3812,1108
buriti_torino_02.jpg,Torino,Contemporaneo,13,3278,1528
buriti_torino_03.jpg,Torino,Contemporaneo,13,2186,1160
buriti_vision_01.jpg,Vision,Contemporaneo,14,3810,1806
buriti_vision_02.jpg,Vision,Contemporaneo,15,3718,2452
buriti_freedom_01.jpg,Freedom,Contemporaneo,16,3664,1000
buriti_freedom_02.jpg,Freedom,Contemporaneo,17,3228,1084
buriti_freedom_03.jpg,Freedom,Contemporaneo,17,3230,1060
buriti_audax_01.jpg,Audax,Contemporaneo,18,3752,854
buriti_audax_02.jpg,Audax,Contemporaneo,19,3046,1090
buriti_audax_03.jpg,Audax,Contemporaneo,19,3234,1178
buriti_donatella_01.jpg,Donatella,Contemporaneo,20,3744,1816
buriti_donatella_02.jpg,Donatella,Contemporaneo,20,1846,1410
buriti_mirella_01.jpg,Mirella,Contemporaneo,21,1694,1758
buriti_mirella_02.jpg,Mirella,Contemporaneo,21,1658,1412
buriti_mirella_03.jpg,Mirella,Contemporaneo,21,1652,1432
buriti_ambiente_organico.jpg,,Organico,23,4075,3544
buriti_pluma_01.jpg,Pluma,Organico,24,3808,1282
buriti_pluma_02.jpg,Pluma,Organico,25,3910,2622
buriti_pluma_03.jpg,Pluma,Organico,25,1688,1016
buriti_da_vinci_01.jpg,Da Vinci,Organico,26,3834,2346
buriti_da_vinci_02.jpg,Da Vinci,Organico,27,3196,922
buriti_da_vinci_03.jpg,Da Vinci,Organico,27,2850,876
buriti_da_vinci_04.jpg,Da Vinci,Organico,27,2846,800
buriti_scott_01.jpg,Scott,Organico,28,3668,1228
buriti_scott_02.jpg,Scott,Organico,29,3424,894
buriti_scott_03.jpg,Scott,Organico,29,2950,1384
buriti_melissa_01.jpg,Melissa,Organico,30,1838,1374
buriti_melissa_02.jpg,Melissa,Organico,30,1700,1408
buriti_melissa_03.jpg,Melissa,Organico,30,1626,1188
buriti_aurora_01.jpg,Aurora,Organico,31,1900,1480
buriti_aurora_02.jpg,Aurora,Organico,31,1984,1362
buriti_aurora_03.jpg,Aurora,Organico,31,1832,1344
buriti_olden_01.jpg,Olden,Organico,32,3828,2938
buriti_olden_02.jpg,Olden,Organico,32,1550,1048
buriti_zoe_01.jpg,Zoe,Organico,33,3758,2680
buriti_zoe_02.jpg,Zoe,Organico,33,1472,1332
buriti_lucy_01.jpg,Lucy,Organico,34,1756,1280
buriti_lucy_02.jpg,Lucy,Organico,34,1634,1392
buriti_lucy_03.jpg,Lucy,Organico,34,1732,1502
buriti_luna_01.jpg,Luna,Organico,35,2954,2064
buriti_luna_02.jpg,Luna,Organico,35,1628,1448
buriti_luna_03.jpg,Luna,Organico,35,1166,694
buriti_ambiente_neo_classico.jpg,,Neo Classico,37,4075,3544
buriti_chesterfield_01.jpg,Chesterﬁ eld,Neo Classico,38,3810,1096
buriti_chesterfield_02.jpg,Chesterﬁ eld,Neo Classico,39,2866,1074
buriti_chesterfield_03.jpg,Chesterﬁ eld,Neo Classico,39,2106,1180
buriti_allure_01.jpg,Allure,Neo Classico,40,3812,1332
buriti_allure_02.jpg,Allure,Neo Classico,41,2890,1368
buriti_allure_03.jpg,Allure,Neo Classico,41,1236,898
buriti_lorenzo_01.jpg,Lorenzo,Neo Classico,42,3796,1406
buriti_lorenzo_02.jpg,Lorenzo,Neo Classico,43,2898,1278
buriti_lorenzo_03.jpg,Lorenzo,Neo Classico,43,2948,1270
buriti_oregon_01.jpg,Óregon,Neo Classico,44,3806,1406
buriti_oregon_02.jpg,Óregon,Neo Classico,45,3774,1288
buriti_oregon_03.jpg,Óregon,Neo Classico,45,2800,1372
buriti_sevilha_01.jpg,Sevilha,Neo Classico,46,3792,1418
buriti_sevilha_02.jpg,Sevilha,Neo Classico,47,2942,1354
buriti_sevilha_03.jpg,Sevilha,Neo Classico,47,2644,970
buriti_costela_01.jpg,Costela,Neo Classico,48,2762,1966
buriti_costela_02.jpg,Costela,Neo Classico,48,1236,1416
buriti_ambiente_moderno.jpg,,Moderno,51,4075,3544
buriti_duomo_01.jpg,Duomo,Moderno,52,3822,958
buriti_duomo_02.jpg,Duomo,Moderno,53,2970,1338
buriti_duomo_03.jpg,Duomo,Moderno,53,3080,1074
buriti_milano_01.jpg,Milano,Moderno,54,3794,982
buriti_milano_02.jpg,Milano,Moderno,55,2732,1472
buriti_milano_03.jpg,Milano,Moderno,55,2586,1004
buriti_antares_01.jpg,Antares,Moderno,56,3720,1382
buriti_antares_02.jpg,Antares,Moderno,57,2658,1100
buriti_antares_03.jpg,Antares,Moderno,57,2676,1252
buriti_austin_01.jpg,Austin,Moderno,58,3820,1294
buriti_austin_02.jpg,Austin,Moderno,59,3774,2596
buriti_madri_01.jpg,Madri,Moderno,60,3802,1098
buriti_madri_02.jpg,Madri,Moderno,61,3344,1528
buriti_madri_03.jpg,Madri,Moderno,61,2708,1038
buriti_domini_01.jpg,Domini,Moderno,62,3808,1568
buriti_domini_02.jpg,Domini,Moderno,63,2690,1566
buriti_domini_03.jpg,Domini,Moderno,63,2950,1160
buriti_valentina_01.jpg,Valentina,Moderno,64,3824,1558
buriti_valentina_02.jpg,Valentina,Moderno,65,2954,1352
buriti_valentina_03.jpg,Valentina,Moderno,65,2960,1350
buriti_soft_01.jpg,Soft,Moderno,66,3728,1942
buriti_soft_02.jpg,Soft,Moderno,67,2892,1018
buriti_soft_03.jpg,Soft,Moderno,67,2800,1204
buriti_hope_01.jpg,Hope,Moderno,68,3782,1830
buriti_hope_02.jpg,Hope,Moderno,69,3024,1102
buriti_hope_03.jpg,Hope,Moderno,69,2498,1240
buriti_bela_01.jpg,Bela,Moderno,70,3456,3090
buriti_bela_02.jpg,Bela,Moderno,70,1512,1582
buriti_ambiente_compactos.jpg,,Compactos,73,4075,3544
buriti_dreambox_01.jpg,DreamBox,Compactos,74,3808,1648
buriti_dreambox_02.jpg,DreamBox,Compactos,75,3792,988
buriti_dreambox_03.jpg,DreamBox,Compactos,75,2866,1416
buriti_dreambox_04.jpg,DreamBox,Compactos,75,1810,792
buriti_pratico_confort_01.jpg,Prático Confort,Compactos,76,3730,1628
buriti_pratico_confort_02.jpg,Prático Confort,Compactos,77,3758,2004
buriti_pratico_confort_03.jpg,Prático Confort,Compactos,77,2212,892
buriti_puff_01.jpg,Target / Recamier Target / Albany / Paleta,Puffs e Complementos,78,2268,1470
buriti_puff_02.jpg,Target / Recamier Target / Albany / Paleta,Puffs e Complementos,78,1434,1280
buriti_puff_03.jpg,Target / Recamier Target / Albany / Paleta,Puffs e Complementos,78,1488,1208
