arquivo,produto,vista,tecido_da_foto,pagina_pdf,dimensoes_px
buriti_sonata_01.png,Sonata,frontal,Linho 356,5,1919x586
buriti_sonata_02.png,Sonata,perspectiva,Linho 356,6,1453x729
buriti_sonata_03.png,Sonata,traseira,Linho 356,6,1424x662
buriti_lummier_01.png,Lummier,frontal,Linho 321,7,1946x515
buriti_lummier_02.png,Lummier,perspectiva,Linho 321,8,1561x801
buriti_lummier_03.png,Lummier,traseira,Linho 321,8,1689x749
buriti_solace_01.png,Solace,frontal,Linho 348,9,1954x559
buriti_solace_02.png,Solace,perspectiva,Linho 348,10,1578x772
buriti_solace_03.png,Solace,traseira,Linho 348,10,1579x718
buriti_hush_01.png,Hush,frontal,Couro 1002,11,1943x644
buriti_hush_02.png,Hush,perspectiva,Couro 1002,12,1778x700
buriti_hush_03.png,Hush,traseira,Couro 1002,12,1516x618
buriti_hush_detalhe_01.jpg,Hush,detalhe,Couro 1002,13,872x608
buriti_hush_detalhe_02.jpg,Hush,detalhe,Couro 1002,13,848x573
buriti_hush_detalhe_03.jpg,Hush,detalhe,Couro 1002,13,896x623
buriti_hush_detalhe_04.jpg,Hush,detalhe,Couro 1002,13,888x624
buriti_naturale_01.png,Naturale,frontal,Linho 10 e Corino 173,14,1938x733
buriti_naturale_02.png,Naturale,perspectiva,Linho 10 e Corino 173,15,1556x787
buriti_naturale_03.png,Naturale,traseira,Linho 10 e Corino 173,15,1406x724
buriti_albany_01.png,Albany,frontal,Linho 310,16,1954x746
buriti_albany_02.png,Albany,perspectiva,Linho 310,17,1511x720
buriti_albany_03.png,Albany,traseira,Linho 310,17,1270x621
buriti_modulare_01.png,Modulare,frontal,Linho 10,18,1955x589
buriti_modulare_02.png,Modulare,perspectiva,Linho 10,19,1709x632
buriti_modulare_03.png,Modulare,traseira,Linho 10,19,1673x654
buriti_lummier_ambiente.jpg,Lummier,ambiente,Linho 321,4,3191x2776
