arquivo,tipo,ref,legenda,pagina,largura,altura,metodo
ccl_ambiente_p002_01.jpg,,,,2,1907,1050,jpx->jpg
ccl_ambiente_p003_02.jpg,,,,3,1990,1005,jpx->jpg
ccl_rack_2470_ambiente.jpg,Rack,2470,Rack 2470,4,1414,954,jpx->jpg
ccl_buffet_231_01.jpg,Buffet,231,Buffet 231,4,776,460,jpx->jpg
ccl_rack_rz9000_ambiente.jpg,Rack,RZ9000,Rack RZ9000,5,1414,952,jpx->jpg
ccl_rack_rz9000_01.jpg,Rack,RZ9000,Rack RZ9000,5,719,603,jpx->jpg
ccl_aparador_rz9001_01.jpg,Aparador,RZ9001,Aparador RZ9001,5,718,603,jpx->jpg
ccl_rack_rz9025_ambiente.jpg,Rack,RZ9025,Rack RZ9025,6,1414,954,jpx->jpg
ccl_rack_rz9013_01.jpg,Rack,RZ9013,Rack RZ9013,6,1014,603,jpx->jpg
ccl_aparador_rz9008_ambiente.jpg,Aparador,RZ9008,Aparador RZ9008,7,1414,954,jpx->jpg
ccl_rack_rz9007_01.jpg,Rack,RZ9007,Rack RZ9007,7,718,598,jpx->jpg
ccl_aparador_rz9008_01.jpg,Aparador,RZ9008,Aparador RZ9008,7,719,598,jpx->jpg
ccl_rack_2472_ambiente.jpg,Rack,2472,Rack 2472,8,1414,954,jpx->jpg
ccl_rack_2471_01.jpg,Rack,2471,Rack 2471,8,719,435,jpx->jpg
ccl_rack_2473_01.jpg,Rack,2473,Rack 2473,8,717,435,jpx->jpg
ccl_aparador_2480_ambiente.jpg,Aparador,2480,Aparador 2480,9,1419,954,jpx->jpg
ccl_aparador_2481_01.jpg,Aparador,2481,Aparador 2481,9,1019,602,jpx->jpg
ccl_aparador_2483_01.jpg,Aparador,2483,Aparador 2483,10,1017,602,jpx->jpg
ccl_ambiente_p010_03.jpg,,,,10,1419,954,jpx->jpg
ccl_ambiente_p011_04.jpg,,,,11,1417,954,jpx->jpg
ccl_banco_rattan_2438_01.jpg,Bancorattan,2438,Bancorattan 2438,11,1013,603,jpx->jpg
ccl_buffet_240_ambiente.jpg,Buffet,240,Buffet 240,12,1414,954,jpx->jpg
ccl_buffet_240_01.jpg,Buffet,240,Buffet 240,12,713,452,jpx->jpg
ccl_buffet_241_01.jpg,Buffet,241,Buffet 241,12,707,453,jpx->jpg
ccl_buffet_242_01.jpg,Buffet,242,Buffet 242,13,702,602,jpx->jpg
ccl_buffet_243_01.jpg,Buffet,243,Buffet 243,13,732,602,jpx->jpg
ccl_ambiente_p013_05.jpg,,,,13,1419,954,jpx->jpg
ccl_buffet_244_ambiente.jpg,Buffet,244,Buffet 244,14,1417,954,jpx->jpg
ccl_buffet_244_01.jpg,Buffet,244,Buffet 244,14,728,434,jpx->jpg
ccl_buffet_244_02.jpg,Buffet,244,Buffet 244,14,781,781,jpx->jpg
ccl_ambiente_p015_06.jpg,,,,15,1414,954,jpx->jpg
ccl_rack_232_01.jpg,Rack,232,Rack 232,15,1019,603,jpx->jpg
ccl_rack_233_ambiente.jpg,Rack,233,Rack 233,16,1414,952,jpx->jpg
ccl_aparador_2380_01.jpg,Aparador,2380,Aparador 2380,16,1019,602,jpx->jpg
