arquivo,produto,tipo,pagina_pdf,dimensoes_px,texto_da_pagina,obs
universum_base_fiona_01.jpg,Fiona,base,3,2016x1344,"Base de Jantar ou Conversação FIONA De 1,40 x 1,40 até 1,65 x 1,65 Pode ser vendido com o tampo Fiona em pedra natural.",
universum_base_petra_individual_01.jpg,Petra (Individual),base,4,2016x1344,"Base de Jantar PETRA (Individual) Orgânica de 1,40 x 1,40 até 1,65 x 1,65 | Redonda Ø 1,40 a Ø 1,80 Pode ser vendido com os tampos de pedra natural Fiona ou Zeus até Ø 1,60.",
universum_base_petra_dupla_01.jpg,Petra (Dupla),base,5,2016x1344,"Base de Jantar PETRA (Dupla) De 2,20 x 1,10 até 4,00 x 1,30 Pode ser vendido com o tampo bipartido Carlota com detalhe em pedra natural de 3,00 x 1,30 até 4,00 x 1,30.",
universum_base_santorini_01.jpg,Santorini,base,6,1241x912,"Base de Jantar SANTORINI De 1,80 x 1,10 até 3,00 x 1,16",
universum_base_olga_01.jpg,Olga,base,7,1962x1308,"Base de Jantar OLGA De 1,80 x 1,00 até 3,00 x 1,20",
universum_base_olga_02.jpg,Olga,base,7,1344x896,"Base de Jantar OLGA De 1,80 x 1,00 até 3,00 x 1,20",
universum_base_lui_01.jpg,Lui,base,8,2016x1344,"Base de Jantar LUI Redonda Menor Ø 0,70 a Ø 0,90 | Maior Ø 1,40 a Ø 1,60 Retangular 2,40 x 1,10 até 3,00 x 1,20 Pode ser vendido com o tampo Zeus em pedra natural até Ø 1,60.",
universum_base_liege_01.jpg,Liége,base,9,1276x771,"Base de Jantar LIÉGE De 1,40 x 1,40 até 1,60 x 1,60",
universum_base_matrix_01.jpg,Matrix,base,10,1063x827,"Base de Jantar MATRIX Redonda de Ø 1,00 até Ø 1,80 Pode ser vendido com o tampo Zeus em pedra natural até Ø 1,60.",
universum_base_aline_01.jpg,Aline,base,11,1654x877,"Base de Jantar ALINE De 1,80 x 1,00 até 3,00 x 1,20",
universum_base_arista_01.jpg,Arista,base,12,1835x1016,"Base de Jantar ARISTA De 1,80 x 1,00 até 3,00 x 1,20",
universum_base_orion_01.jpg,Órion,base,13,827x827,"Base de Jantar ÓRION Retangular 1,80 x 1,00 até 2,40 x 1,10 Quadrada 1,40 x 1,40 até 1,60 x 1,60",
universum_base_orion_02.jpg,Órion,base,13,473x473,"Base de Jantar ÓRION Retangular 1,80 x 1,00 até 2,40 x 1,10 Quadrada 1,40 x 1,40 até 1,60 x 1,60",
universum_base_bistro_lui_01.png,Lui (Bistrô),base de bistrô,14,1400x934,"Base de Bistrô LUI Redonda Ø 0,70 Pode ser vendido com o tampo Zeus em pedra natural de Ø 0,70.",
universum_tampo_carlota_01.jpg,Carlota,tampo,16,2016x1344,"Tampo Bipartido CARLOTA 4,00 x 1,30 - 3,70 x 130 - 3,40 x 1,30 - 3,00 x 1,30 - 2,72 x 1,20 - 2,60 x 1,20 O tampo possui um detalhe em pedra natural na parte menor do tampo, disponível no Mármore Calacata, Nero ou Travertino Romano. Acompanha contra tampo,",
universum_tampo_fiona_01.jpg,Fiona,tampo,17,2016x1344,"Tampo Orgânico FIONA 1,65 x 1,34 | 1,51 x 1,23 Disponível no Mármore Calacata, Nero ou Travertino Romano. Acompanha contra tampo,",imagem idêntica a universum_base_fiona_01.jpg
universum_tampo_zeus_01.jpg,Zeus,tampo,18,3360x2240,"Tampo Redondo ZEUS Ø 1,60 - 1,50 - 1,40 - 1,30 - 1,20 - 1,10 - 1,00 - 0,90 - 0,70 Disponível no Mármore Calacata, Nero ou Travertino Romano. Acompanha contra tampo,",
